source,text,created,compound,positive,negative,neutral,tweets ago
@BBCBreaking,The woman accusing Supreme Court nominee Brett Kavanaugh of sexual assault agrees to testify against him next week https://t.co/W5RTtIVAwN,Sat Sep 22 18:48:42 +0000 2018,-0.0258,0.208,0.212,0.579,30
@BBCBreaking,US cable giant wins rare blind auction process set by the UK's Takeover Panel. https://t.co/Lc0sggm0FL,Sat Sep 22 18:23:52 +0000 2018,0.25,0.191,0.139,0.67,31
@BBCBreaking,Chas Hodges - one half of the musical duo Chas &amp; Dave - has died https://t.co/sLok83mgNk,Sat Sep 22 12:20:02 +0000 2018,-0.5574,0.0,0.217,0.783,32
@BBCBreaking,"Man rescued from air pocket in sunken Lake Victoria ferry, two days after it capsized with loss of around 170 lives https://t.co/l5rG7Bsa58",Sat Sep 22 11:10:39 +0000 2018,0.128,0.112,0.092,0.797,33
@BBCBreaking,"Several people killed in gun attack during Iranian military parade in south-west city of Ahvaz, state media says https://t.co/OweQk7y5Qp",Sat Sep 22 06:19:09 +0000 2018,-0.875,0.0,0.385,0.615,34
@BBCBreaking,"""No-one wants a good deal more than me, but the EU should be clear I will not overturn the result of the referendum… https://t.co/xGM9JxrjiN",Fri Sep 21 13:17:13 +0000 2018,0.6542,0.211,0.0,0.789,35
@BBCBreaking,"UK PM Theresa May demands new proposals from EU to break Brexit ""impasse"" after Chequers plan rejected by EU leaders https://t.co/4IzVJBIco0",Fri Sep 21 13:14:06 +0000 2018,-0.5106,0.0,0.142,0.858,36
@BBCBreaking,"UK PM Theresa May to make statement in Downing Street on state of #Brexit negotiations at 13:45 BST

https://t.co/SUQnGZEPKZ",Fri Sep 21 12:02:41 +0000 2018,0.0,0.0,0.0,1.0,37
@BBCBreaking,"At least 86 bodies are found after a Tanzanian ferry overturns in Lake Victoria, officials say https://t.co/Pcy3ObgGin",Fri Sep 21 07:52:13 +0000 2018,-0.3818,0.0,0.148,0.852,38
@BBCBreaking,Multiple deaths and injuries after a shooting at a pharmacy distribution centre in Maryland - US police https://t.co/38OudkxJja,Thu Sep 20 16:10:35 +0000 2018,0.0,0.0,0.0,1.0,39
@BBCBreaking,"After criticism of her Chequers plan by EU leaders, Theresa May stands by her #Brexit proposals as ""the only seriou… https://t.co/jAq6ulD1iY",Thu Sep 20 14:13:40 +0000 2018,-0.4404,0.0,0.127,0.873,40
@BBCBreaking,"European Council President Donald Tusk says EU leaders agree Theresa May's Chequers plan for #Brexit ""will not work… https://t.co/9Mc9yWQLUJ",Thu Sep 20 13:36:45 +0000 2018,0.3612,0.122,0.0,0.878,41
@BBCBreaking,"RT @BBCSport: The suspension of Russia's anti-doping agency (Rusada) has been lifted despite widespread opposition.

Full story: https://t.…",Thu Sep 20 12:59:39 +0000 2018,0.0,0.0,0.0,1.0,42
@BBCBreaking,Pakistan court orders release of ex-PM Nawaz Sharif and suspends his jail sentence https://t.co/3LqxVQ6F51,Wed Sep 19 10:21:14 +0000 2018,0.0772,0.091,0.0,0.909,43
@BBCBreaking,"Woman dies after caravan blown off cliff in Galway, Ireland as Storm Ali brings disruption to British Isles https://t.co/wubY4511gO",Wed Sep 19 09:36:38 +0000 2018,-0.3612,0.0,0.122,0.878,44
@BBCBreaking,"UK inflation rate for August unexpectedly rises to 2.7%, highest in six months https://t.co/GmqT0MuLhi",Wed Sep 19 08:33:35 +0000 2018,0.0,0.0,0.0,1.0,45
@BBCBreaking,"Moon and Kim hail new future for North and South Korea, signing wide-ranging agreement in Pyongyang https://t.co/QNzHH5gdDP",Wed Sep 19 02:59:21 +0000 2018,0.5423,0.231,0.0,0.769,46
@BBCBreaking,Germany's spy chief forced out of job over his controversial response to reports of far-right unrest in Chemnitz https://t.co/NUAvqHojSE,Tue Sep 18 16:12:26 +0000 2018,-0.5859,0.0,0.22,0.78,47
@BBCBreaking,"RT @BBCSport: Ben Stokes and Alex Hales have been charged with bringing the game into disrepute by the ECB.

https://t.co/1mH5geVa1O https:…",Tue Sep 18 13:13:51 +0000 2018,-0.2023,0.0,0.083,0.917,48
@BBCBreaking,The US is imposing new tariffs on $200bn (£150bn) worth of Chinese goods as it escalates its trade war with Beijing https://t.co/CjuxgjX23d,Mon Sep 17 22:41:12 +0000 2018,-0.5267,0.073,0.202,0.725,49
@BBCBreaking,Thai cave rescuer Vernon Unsworth sues Elon Musk over his repeated claims the British diver is child abuser https://t.co/wJeixByjo9,Mon Sep 17 18:11:18 +0000 2018,-0.5574,0.0,0.167,0.833,50
@BBCBreaking,Russia and Turkey to create buffer zone in Syria's northern Idlib province to separate Syrian forces and rebels https://t.co/1xjM2afBPr,Mon Sep 17 16:42:17 +0000 2018,0.0772,0.1,0.086,0.813,51
@BBCBreaking,"US Supreme Court nominee Brett Kavanaugh says sexual assault claim against him is ""completely false"" in first comme… https://t.co/MPyA5T4jiH",Mon Sep 17 14:42:34 +0000 2018,-0.0516,0.148,0.156,0.697,52
@BBCBreaking,"International Monetary Fund warns no-deal #Brexit would inflict ""substantial costs"" on the UK economy https://t.co/qBkhE3584i",Mon Sep 17 09:18:01 +0000 2018,0.1027,0.111,0.086,0.802,53
@BBCBreaking,"Police have sealed off the Prezzo restaurant in High Street, Salisbury, following a 'medical incident' involving a man and a woman",Sun Sep 16 19:30:19 +0000 2018,0.0,0.0,0.0,1.0,54
@BBCBreaking,Correction: Christine Blasey Ford reveals she was teenager allegedly assaulted by Supreme Court nominee Kavanaugh https://t.co/NMZLm0Ro4C,Sun Sep 16 19:24:39 +0000 2018,0.0516,0.171,0.162,0.667,55
@BBCBreaking,"RT @BBCSport: Kenya's Eliud Kipchoge has set a new marathon world record in Berlin.

https://t.co/D9EEUxebgM https://t.co/mb8oigT6FB",Sun Sep 16 09:31:11 +0000 2018,0.0,0.0,0.0,1.0,56
@BBCBreaking,"At least five dead as Florence mauls US East Coast

·Winds of up to 70mph (110km/h) expected for several days
·Almo… https://t.co/dAXPvHdCAW",Sat Sep 15 01:32:56 +0000 2018,-0.6486,0.0,0.17,0.83,57
@BBCBreaking,"Hurricane Florence downgraded to tropical storm
 
• Four people killed as storm batters US East Coast
• 600,000 hom… https://t.co/EWslcjopvp",Fri Sep 14 21:00:56 +0000 2018,-0.6705,0.0,0.209,0.791,58
@BBCBreaking,"Typhoon Mangkhut reaches northern Philippines with officials warning of possible ""very heavy damage"" https://t.co/ez3FCfWNV1",Fri Sep 14 18:28:18 +0000 2018,-0.6887,0.066,0.325,0.608,59
@BBCBreaking,"Trump's former campaign manager Paul Manafort agrees to co-operate with Mueller probe, prosecutor says https://t.co/o8VmfnfWtx",Fri Sep 14 15:41:17 +0000 2018,0.2023,0.114,0.0,0.886,60
@BBCBreaking,"#HurricaneFlorence latest

• Centre of hurricane eye makes landfall
• More than 300,000 people without power 
• Eva… https://t.co/hxwsLoRxka",Fri Sep 14 11:48:34 +0000 2018,0.0,0.0,0.0,1.0,61
@BBCBreaking,"#HurricaneFlorence makes landfall on east coast of US

Follow our live updates https://t.co/DEangW2yzK https://t.co/yy1qY9b4ui",Fri Sep 14 10:05:23 +0000 2018,0.0,0.0,0.0,1.0,62
@BBCBreaking,Suspects in poisoning of ex-Russian spy Sergei Skripal tell state-sponsored TV network RT they visited Salisbury as… https://t.co/wJsPNLoMCp,Thu Sep 13 10:26:24 +0000 2018,-0.7351,0.0,0.279,0.721,63
@BBCBreaking,Two men named as suspects in poisoning of Russian ex-spy claim they were merely tourists to Salisbury Cathedral https://t.co/PFXBDyJrkf,Thu Sep 13 10:13:52 +0000 2018,-0.7351,0.0,0.267,0.733,64
